STT,job_title,company_name,location
1,Nhân viên sản xuất,Công ty TNHH Pantra vina,Hải Phòng
2,NHAN VIEN KỸ THUẬT,Kokoro Hr đại diện cho KOKORO,Đồng Nai
3,Assistant of General Manager,Starshine Marketing,Hồ Chí Minh
4,[VCO] - Receptionist &amp; Administration Officer (temporary),SCG Vietnam,Hồ Chí Minh
5,Sale Online,Công Ty TNHH Thương Mại - Dịch Vụ Khang Nam Vi Na,Hồ Chí Minh
6,Import/ Export Staff,Công Ty TNHH Maersk Việt Nam,Bình Dương
7,Nhân Viên Kinh Doanh Online,Công Ty TNHH Xây Dựng Và Thiết Kế Quốc Tế Lợi Nguyên Đạt,"Quận 7, Hồ Chí Minh"
8,Warehouse Staff / Stockeeper,Công Ty TNHH Korn,Hà Nội
9,Customer Service Travel App,Công Ty TNHH Thương Mại Quốc Tế Yue Run,Hồ Chí Minh
10,Interpreter cum General Affairs Staff,"LOTTE Properties Hanoi Co., Ltd",Hà Nội
11,Ticketing Staff,"T &amp; T GLOBAL Travel Services CO., LTD",Hồ Chí Minh
12,Import/ Export Staff,CÔNG TY TNHH LF LOGISTICS (VIỆT NAM),Bình Dương
13,"Công Ty Bảo Hộ Xanh Tuyển Dụng Thực Tập Sinh Marketing Online, Thực Tập Sinh Hỗ Trợ Kinh Doanh",Công ty TNHH BẢO HỘ XANH,"Quận Thủ Đức, Hồ Chí Minh"
14,LAO ĐỘNG PHỔ THÔNG,CÔNG TY TNHH MATRIX VIỆT NAM,Đà Nẵng
15,NHÂN VIÊN KẾ TOÁN,Hrplus,"Quận Hoàn Kiếm, Hà Nội"
